date,id,content,username,like_count,retweet_count
2023-03-30 21:49:27+00:00,1641558281045811201,"@MKBHD Yeah, I couldn’t decide between an iPhone 1 or a Blackberry Pearl so I ordered both and never opened the iPhone… Just kidding. How does this happen? Must have been a warehouse glitch or something!",AlanNeveu,0,0
2023-03-30 21:02:47+00:00,1641546535908397056,@MKBHD hey what’s your Home Screen on your iPhone look like these days? Just trying to see something.,AlSharpTongue,0,0
2023-03-30 19:59:06+00:00,1641530510429003797,"@MKBHD @AndruEdwards Doubtful... it's an iPhone, not a Game Boy.",joeypreger,0,0
2023-03-30 19:38:51+00:00,1641525413024243715,"@AndruEdwards @untainted_venom @MKBHD I have a Nintendo Ds that still charge and it's older than the iPhone.

Only way to have an answer is with someone having true technical knowledge on iPhone batteries, but as much as I remember how it works, I don't see how not using it could break it (I'm probably wrong)",wasteak,0,0
2023-03-30 19:12:22+00:00,1641518749516984320,"@stevestojan @MKBHD In my country, EDGE, 3G, 4G, 5G all do work.
But why would you wanna browse internet in these anyway? Well should you wish to, I didn’t have any phone for a while back in 2019 and exclusively used my iPhone 3Gs for over a month and internet browsing was quite acceptable.",vedanshchn,1,0
2023-03-30 19:08:20+00:00,1641517736151924736,"@MKBHD Schrodingers  Iphone, you cant open it to check the content of the box reducing the value, but you have to trust the iphone is there.",osofdz,0,0
2023-03-30 18:53:53+00:00,1641514100021682184,@MKBHD The best IPhone ever.,Fabse914465492,0,0
2023-03-30 18:49:06+00:00,1641512893718880265,@KGcodes @MKBHD Definitely! Will be part of iPhone history for sure.,theapplecycle,4,0
2023-03-30 18:27:53+00:00,1641507554864816132,@MKBHD So you gonna buy it and make a video about the most expensive iPhone ever?,Yoshi_8719,0,0
2023-03-30 18:26:50+00:00,1641507288883290112,"@MKBHD I still have the boxes, chargers and headphones for 2 iPhone originals I bought back in the day...I think the boxes still have the screen plastic peel things in them. I charged up the phones and they still work, which is kind of amazing.",EchtoGammut,1,0
2023-03-30 18:15:38+00:00,1641504473821634560,@MKBHD My kid found my iPhone 1 last year. It booted! Nostalgia to the max! https://t.co/4FgqgO4auU,chiefsims,80,0
2023-03-30 18:15:31+00:00,1641504444515774464,@MKBHD Crypto mfers be opening it and then still selling it as an NFT of an unopened iphone,bezzenberger,2,0
2023-03-30 18:13:00+00:00,1641503809707950080,@MKBHD Schrödinger’s iPhone.,lamexcusee,0,0
2023-03-30 18:11:17+00:00,1641503378508513281,@lasterd80 @MKBHD @Mrwhosetheboss @LeakerApple @UniverseIce @SomeGadgetGuy @That_Kartikey @RealJoseph123 @luca_scagliotti @_prophet_futu Iphone is clearly throttling on heavy multi tasking on 5G!!!,DracoSura,1,0
2023-03-30 18:05:15+00:00,1641501859197374464,"@MKBHD PS I got it for less than the cost of Gen1 Airpods lol
Same goes for the iPhone 3G, 3Gs and 4S I got.",vedanshchn,0,0
2023-03-30 18:01:16+00:00,1641500856565796864,@MKBHD @BrandonButch @Malzan_enjoyer @AndruEdwards @theapplecycle Schrödinger's iPhone.,avinhere,10,1
2023-03-30 17:52:57+00:00,1641498762710335497,@MKBHD i still have no idea why anyone would want an 8gb iphone,relientkenny,6,0
2023-03-30 17:51:48+00:00,1641498473798279170,"@MKBHD Very interesting indeed, but $60K?
Nah, I’m good with my old iPhone boxes. https://t.co/w6GEygMnw1",KGcodes,154,0
2023-03-30 17:51:21+00:00,1641498362703667210,"@MKBHD How do you verify?
Schrödinger's iPhone",incoherentdrvl,3,0
2023-03-30 11:04:48+00:00,1641396047657291776,@AkshayAnuOnline @AppleSupport @MKBHD @geekyranjit @callmeshazzam @tim_cook @praaatiiik @C4ETech @GyanTherapy @EzTech231 @Dave2D @TechWiser @stufflistings @UniverseIce I am facing the exact same issue in my Iphone 13 pro maxx from yesterday after ios upgrade. CaseId: 101966208647 @Apple @AppleSupport Why should I  pay 33K for screen replacement for problem at your end? This is a known issue at your end. Why should customer pay for this?,Suyash0020965,0,0
2023-03-30 06:40:54+00:00,1641329637203808256,@MKBHD Iphone 15??,ticodatte,0,0
2023-03-30 04:53:28+00:00,1641302599847559170,"Anyone knows why is this battery drain is happening? 
iPhone 12 mini 
iOS 15.7.1
My WiFi,Mobile Data was off all the time.
Facing it daily.
@appleinsider @geekyranjit @TechnicalGuruji @MKBHD   
@AppleSupport  @Apple https://t.co/SxF0iuCLdJ",Saket_Kaswa,0,0
2023-03-30 03:22:16+00:00,1641279647827775490,"@VigneshwarB9 @Apple @AppleSupport @TamilTechOffici @TechBossIndia @Mrwhosetheboss @MacRumors @MKBHD @TechWiser @iRobinPro Even after so many reported about @Apple iphone 13 pro max white screen issue, @AppleSupport is carelessly informing me to do paid service. Why should I pay for their fault? Do you think the life span of display is just around 1year? Worst quality check for @Apple",VigneshwarB14,0,0
2023-03-30 03:21:01+00:00,1641279333271769088,@MKBHD Clearly it’s hinting the new curved screen iPhone 15 and iPads,omiejay,0,0
2023-03-30 02:26:42+00:00,1641265663493967872,@Apple @GyanTherapy @HFVUnbox @nawabnabeel @AmreliaRuhez @MKBHD @tim_cook bugs are seen in my iphone in recent days like this in whatsapp while switching from one’s status to another’s status. The voiceover is seen. IOS 16.4 is full of bugs. Please try to fix this @Apple. https://t.co/G84nR8p79J,PaulRecoth,1,0
2023-03-30 02:17:02+00:00,1641263234404732928,"@Shadow________X @MKBHD as a microsoft mobile and even palm user, knew the iphone would be a hit way before it came out. headset is not equivalent, still stand by my prediction it will be a VERY niche product. even as a gamer, i don't want a headset.",muhansms,1,1
2023-03-30 01:22:07+00:00,1641249413036396544,@MKBHD VR/AR headset! Either that or crazy iPhone camera update?,rezyxilar,0,0
2023-03-29 22:57:11+00:00,1641212940509478914,"@MKBHD @MKBHD iPhone SE on 13 Mini body coming? 
I hope so!",Roger22Soares,0,0
2023-03-29 21:39:21+00:00,1641193353164251155,"@MKBHD Looks like a lot of Wi-Fi bars. Sir, does the iPhone connect to my home Wi-Fi?",UnsaltedHoagie,3,0
2023-03-29 20:57:46+00:00,1641182888304549894,"@MKBHD this basically confirms VR hardware.

if history has shown us one thing, Apple will nail input device &amp; interaction btw hardware and software, as they did with Mac/Mouse, iPod/Clickwheel, iPhone/CapacitiveTouch, Watch/DigitalCrown 

needless to say, this is exactly where all…",philmaeser,16,0
2023-03-29 20:14:20+00:00,1641171956056702976,"@DarthBuzzard @MKBHD even in hardware - when the iPhone hit and created a new space, 5 years later was selling 125M units/yr. VR headsets, all of them, are selling 14M units/yr 5 years after introduction.",Mr_Swishman,0,0
2023-03-29 20:05:26+00:00,1641169715082022912,@MKBHD Iridescent iPhone 👀,mofiaman,0,0
2023-03-29 18:46:30+00:00,1641149851986427929,"@MKBHD Iphone wish list (use samsung)
In screen fingerprint scanner 
No notch 
120hz on all iphones 
Better control centre 
UsB C PLZ🙏
Delete all apps button 
OK I'll stop. 😭😂",maccaglynnx,0,0
2023-03-29 18:20:06+00:00,1641143209345810432,@MKBHD Iphone 15 with usb type c pls,EL__CONGO,0,0
2023-03-29 18:03:29+00:00,1641139028266188806,"@MKBHD Yeah I’m excited them to announce the iPhone 15, that new headset, maybe AirPods refresh too. 🫣I’m kind of excited for that headset even though I can’t afford it 💀",notayenash,1,0
2023-03-29 18:01:00+00:00,1641138402631221266,@MKBHD Iphone 15?,Fan747x,0,0
2023-03-29 17:59:26+00:00,1641138008823848961,@RushabOswal @Wellie22 @MKBHD iPhone Events are typically in the Fall,kushspatel,0,0
2023-03-29 17:55:33+00:00,1641137028778676225,"@MKBHD IMO just ""Apple photo AI"" or something for people to change their iPhone (and iPad) photos with Apple generative AI.

:)",_TechyBen,1,0
2023-03-29 17:39:29+00:00,1641132988632006663,@MKBHD New iPhone colour xd 😂,opelit2,1,0
2023-03-29 17:38:59+00:00,1641132862278598656,@MKBHD Look at the number of bands tho… I feel this might be the relaunch of iPhone 6.,b_hvrd,585,0
2023-03-29 17:35:02+00:00,1641131867171700752,"@wasteak @MKBHD I'd honestly argue otherwise, I'm sure someone probably would have said the same thing before the first iPhone came out (albeit, Idk the tech news field at the time)

Also, Apple has def shown some interest in AR over the years, and I believe been working on a headset for a while",nineayem,2,0
2023-03-29 17:34:48+00:00,1641131807717441569,@MKBHD Is the IPhone 14 Pro or Max still worth it or wait for the 15??,xWrestlingEOD,0,0
2023-03-29 17:32:18+00:00,1641131178202742806,"@MKBHD I just want an app locker natively for iOS apps so I can share my iPhone with others.

I beg you @Apple @AppleSupport.",adlinpaulo,1,0
2023-03-29 17:30:55+00:00,1641130832982163459,@MKBHD I’d dig an iPhone in that colour scheme :),itisronan,2,0
2023-03-29 17:29:26+00:00,1641130456262361120,@MKBHD Folding iPhone confirmed ✅,justdrew404,1,0
2023-03-29 17:28:20+00:00,1641130180084219932,"@realdeathmask @MKBHD I'm excited to see their entry in the ar space. But this will not be an ""iphone moment"" for ar headsets if this think costs $3K. I'm also skeptical on how many people actually want to wear a bulky headset.",L0wMax,1,0
2023-03-29 17:25:38+00:00,1641129500304982025,@MKBHD iPhone 15 coming?,AllanValiant,2,0
2023-03-29 15:04:13+00:00,1641093911069470721,@Apple @GyanTherapy @HFVUnbox @nawabnabeel @AmreliaRuhez @MKBHD @tim_cook bugs are seen in my iphone in recent days like this animation went upside in my screen. Ios16.4 is full of bugs.Please try to fix this @Apple. https://t.co/fZzgRpQLnF,PaulRecoth,1,0
2023-03-29 05:27:21+00:00,1640948740239368193,"@financialfaiz Jadi macam MKBHD la, pakai both iOS dan android.

Macam saya, office provide iPhone, boleh la guna untuk ambil gambar dan video.

Android amek yang mid-upper range. Kalu tak kisah tentang kamera (since dah ada iphone), boleh tgk motorola edge series. UI for me very nice la",zzunurainn,0,0
2023-03-28 21:42:42+00:00,1640831804444758016,"@AMANAMARSINGH @C_Pritchard @GooglePixel_US @madebygoogle @tkdsl8655 @MKBHD @_ireviews_ @ijustine @AndroidAuth @xdadevelopers @tech_burner @LewLater @sakitechonline Well the iPhone shot doesn’t seem to have any bokeh but the Samsung shot does, was this intentional?",TechZilla_,1,0
2023-03-28 16:16:45+00:00,1640749780103053313,"@MKBHD Yes, unlike Huawei ads with Twitter or iPhone which needed special planning.",joan_muthii,0,0
2023-03-28 16:09:10+00:00,1640747871354929154,"iPhone camera is overhyped. MKBHD's blind camera tests prove time and again that, most people prefer photos from other phones than iPhones. I also agree to that.",eshwarnag,0,0
2023-03-28 14:02:50+00:00,1640716075997487105,"@C_Pritchard @GooglePixel_US @madebygoogle 1. iPhone 14 Pro Max
2. Samsung S 23 Ultra 

Which is the best ??
@tkdsl8655 @TechZilla_ @MKBHD @_ireviews_ @ijustine @AndroidAuth @xdadevelopers @tech_burner @LewLater @sakitechonline https://t.co/HLbmCjaGCX",AMANAMARSINGH,2,0
2023-03-27 21:03:31+00:00,1640459557401948161,@MKBHD iPhone &gt; any Android phone,marrgielaa22,4,0
2023-03-27 17:33:52+00:00,1640406798409646089,@MKBHD Please make a iPhone set up video,adamjr623,0,0
2023-03-27 14:04:52+00:00,1640354200361074688,@MKBHD i wanted to c iphone 14 but apparently it hasnt been released yet https://t.co/N9ULcwCc6G,Arshbir36412896,0,0
